Manufacturer,Model,Type,Min.Price,Price,Max.Price,MPG.city,MPG.highway,AirBags,RPM,EngineSize
Audi,Model_0,Compact,19.9,16.5,31.3,34,29,Driver & Passenger,6353,1.3
Honda,Model_1,Sport,26.4,48.6,25.5,33,23,Driver only,6403,4.5
Mercedes-Benz,Model_2,Midsize,36.7,49.2,52.9,37,42,Driver & Passenger,4986,4.1
Hyundai,Model_3,Small,14.6,10.9,24.2,29,27,Driver & Passenger,5613,4.7
Volkswagen,Model_4,Midsize,36.5,12.5,39.6,20,30,Driver & Passenger,5178,1.7
Mazda,Model_5,Small,35.9,51.3,17.9,27,36,Driver & Passenger,4695,3.3
Mercedes-Benz,Model_6,SUV,28.2,15.5,32.5,32,26,Driver only,5525,1.1
Nissan,Model_7,Sport,40.1,37.9,16.1,32,30,Driver & Passenger,4327,1.7
Audi,Model_8,Van,13.3,37.9,27.0,15,41,Driver only,5697,4.2
Kia,Model_9,Sport,30.2,49.1,47.3,35,29,Driver & Passenger,5755,2.1
Chevrolet,Model_10,SUV,24.9,35.8,64.5,37,20,Driver & Passenger,4727,1.8
Audi,Model_11,Large,23.9,29.5,25.5,35,27,Driver & Passenger,4656,3.2
Volkswagen,Model_12,Large,17.7,53.8,37.1,25,24,Driver & Passenger,4377,3.6
Volkswagen,Model_13,Large,22.1,20.3,35.7,30,32,Driver only,5272,3.4
Mazda,Model_14,Sport,12.4,21.8,21.8,15,26,Driver & Passenger,6419,1.4
Nissan,Model_15,Compact,17.7,13.8,44.3,33,43,Driver & Passenger,6373,4.7
Honda,Model_16,Sport,18.4,53.9,50.4,22,42,Driver & Passenger,4466,1.7
Mazda,Model_17,SUV,34.8,41.8,19.8,33,30,None,5024,4.7
Mazda,Model_18,SUV,10.3,10.5,52.1,37,31,Driver & Passenger,5731,2.9
Chevrolet,Model_19,Van,32.3,41.7,49.1,30,33,Driver & Passenger,6328,1.4
BMW,Model_20,Midsize,16.6,28.2,22.5,17,31,Driver only,5900,1.6
Nissan,Model_21,Sport,11.5,53.5,46.4,16,45,Driver & Passenger,4627,2.7
Ford,Model_22,Sport,19.5,22.5,32.9,26,47,Driver & Passenger,6105,5.0
Mazda,Model_23,Small,16.7,42.0,48.1,24,20,Driver & Passenger,6476,4.5
Subaru,Model_24,SUV,28.6,38.2,38.3,36,25,Driver & Passenger,6069,4.9
Lexus,Model_25,Small,21.5,10.5,14.6,16,46,Driver & Passenger,5455,2.8
BMW,Model_26,Small,43.8,49.8,53.7,35,30,Driver & Passenger,4268,3.7
Ford,Model_27,Sport,43.7,16.3,41.4,19,30,Driver & Passenger,5432,3.1
Subaru,Model_28,Compact,24.7,39.9,50.4,19,31,None,4054,1.1
Nissan,Model_29,Midsize,37.5,44.9,18.7,20,20,Driver & Passenger,5946,1.6
Toyota,Model_30,Midsize,9.0,38.4,50.2,17,39,Driver only,6457,2.1
Subaru,Model_31,SUV,28.5,14.4,33.9,24,39,Driver & Passenger,5392,2.3
Kia,Model_32,Van,35.6,53.9,54.4,19,43,Driver & Passenger,4489,3.8
BMW,Model_33,SUV,16.4,20.7,43.8,34,25,Driver & Passenger,6163,3.9
Mercedes-Benz,Model_34,Compact,10.7,38.3,30.8,19,42,None,5793,2.8
Subaru,Model_35,Compact,14.2,45.9,22.7,29,32,Driver & Passenger,6131,2.5
Hyundai,Model_36,Midsize,24.6,52.3,55.2,31,31,Driver & Passenger,6341,1.7
Toyota,Model_37,Large,27.0,37.2,41.7,31,29,Driver only,4466,1.2
Volkswagen,Model_38,Small,22.4,21.7,64.3,32,42,Driver & Passenger,5914,3.3
Volkswagen,Model_39,Small,24.6,47.6,31.8,24,26,None,4107,2.4
Hyundai,Model_40,Midsize,25.7,17.3,48.3,37,29,Driver only,4564,2.9
Kia,Model_41,SUV,36.6,11.0,45.0,21,37,Driver & Passenger,6430,4.6
Subaru,Model_42,Compact,12.3,50.9,45.8,25,25,Driver & Passenger,5563,3.7
Subaru,Model_43,SUV,36.6,35.9,51.1,28,43,Driver & Passenger,5370,4.1
Hyundai,Model_44,Van,33.6,13.1,19.4,23,27,Driver & Passenger,4159,1.7
Lexus,Model_45,Large,35.6,36.1,41.1,31,39,Driver only,6277,1.0
Lexus,Model_46,Midsize,35.3,16.5,39.0,16,42,Driver only,6437,1.5
